time.serverTime,time.elapsedTime,loads.L1,pressures.P1,pressures.P2,temps.T1,loads.dm,valves.XV1,valves.XV2,valves.XV3,valves.XV4,valves.XV5,valves.XV6
1715721390.238,0,6.302,2,752,34.875,0,False,False,False,False,False,False
1715721390.365,0.127,6.303,2,752,34.875,0.01,False,False,False,False,False,False
1715721390.435,0.197,6.303,2,752,34.875,0,False,False,False,False,False,False
1715721390.548,0.31,6.303,2,752,34.875,0,False,False,False,False,False,False
1715721390.628,0.39,6.303,2,752,34.875,0,False,False,False,False,False,False
1715721390.756,0.518,0,2,692,34.875,-63.03,False,False,False,False,False,False
1715721390.824,0.586,0,2,680,34.875,0,False,False,False,False,False,False
1715721390.943,0.705,0,2,662,34.875,0,False,False,False,False,False,False
1715721391.012,0.774,0,2,648,34.875,0,False,False,False,False,False,False
1715721391.128,0.89,0,2,638,34.875,0,False,False,False,False,False,False
1715721391.259,1.021,0,2,632,34.875,0,False,False,False,False,False,False
1715721391.321,1.083,0,2,625,34.875,0,False,False,False,False,False,False
1715721391.444,1.206,0,2,616,34.875,0,False,False,False,False,False,False
1715721391.573,1.335,0,2,609,34.875,0,False,False,False,False,False,False
1715721391.638,1.4,5.913,2,601,34.875,59.13,False,False,False,False,False,False
1715721391.752,1.514,5.891,2,594,34.875,-0.22,False,False,False,False,False,False
1715721391.817,1.579,5.871,2,588,34.875,-0.2,False,False,False,False,False,False
1715721391.947,1.709,5.864,2,584,34.875,-0.07,False,False,False,False,False,False
1715721392.010,1.772,5.891,2,582,34.875,0.27,False,False,False,False,False,False
1715721392.134,1.896,5.987,2,560,34.875,0.96,False,False,False,False,False,False
1715721392.260,2.022,6.105,2,541,34.875,1.18,False,False,False,False,False,False
1715721392.322,2.084,6.16,2,536,34.875,0.55,False,False,False,False,False,False
1715721392.443,2.205,6.259,2,529,34.875,0.99,False,False,False,False,False,False
1715721392.511,2.273,6.07,2,537,34.875,-1.89,False,False,False,False,False,False
1715721392.626,2.388,5.961,2,536,34.875,-1.09,False,False,False,False,False,False
1715721392.755,2.517,5.814,2,539,34.875,-1.47,False,False,False,False,False,False
1715721392.817,2.579,5.75,2,545,34.875,-0.64,False,False,False,False,False,False
1715721392.940,2.702,5.747,2,550,34.875,-0.03,False,False,False,False,False,False
1715721393.070,2.832,5.647,2,551,34.875,-1,False,False,False,False,False,False
1715721393.133,2.895,5.572,2,548,35.75,-0.75,False,False,False,False,False,False
1715721393.261,3.023,5.499,2,545,35.75,-0.73,False,False,False,False,False,False
1715721393.326,3.088,5.431,2,541,35.75,-0.68,False,False,False,False,False,False
1715721393.453,3.215,5.356,2,541,35.75,-0.75,False,False,False,False,False,False
1715721393.517,3.279,5.287,2,538,35,-0.69,False,False,False,False,False,False
1715721393.644,3.406,5.204,2,535,35,-0.83,False,False,False,False,False,False
1715721393.769,3.531,5.149,2,532,35,-0.55,False,False,False,False,False,False
1715721393.841,3.603,5.089,2,527,34.938,-0.6,False,False,False,False,False,False
1715721393.956,3.718,5.032,2,524,34.938,-0.57,False,False,False,False,False,False
1715721394.017,3.779,4.966,2,521,34.938,-0.66,False,False,False,False,False,False
1715721394.148,3.91,4.912,2,517,34.938,-0.54,False,False,False,False,False,False
1715721394.267,4.029,4.845,2,513,34.938,-0.67,False,False,False,False,False,False
1715721394.332,4.094,4.721,2,510,34.938,-1.24,False,False,False,False,False,False
1715721394.455,4.217,4.652,2,506,34.938,-0.69,False,False,False,False,False,False
1715721394.521,4.283,4.588,2,503,34.938,-0.64,False,False,False,False,False,False
1715721394.644,4.406,4.523,2,499,34.938,-0.65,False,False,False,False,False,False
1715721394.776,4.538,4.453,2,495,34.938,-0.7,False,False,False,False,False,False
1715721394.843,4.605,4.387,2,492,34.813,-0.66,False,False,False,False,False,False
1715721394.954,4.716,4.327,2,488,34.813,-0.6,False,False,False,False,False,False
1715721395.017,4.779,4.26,2,485,34.813,-0.67,False,False,False,False,False,False
1715721395.144,4.906,4.195,2,481,34.875,-0.65,False,False,False,False,False,False
